additives_n,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
5,1284,7,3.6,54.2,44,4.7,3.9,0.2,0.078740157
5,1284,7,3.6,54.2,44,4.7,3.9,0.199898,0.0787
2,177,0,0,10.4,10.4,0,0,0.0254,0.01
0,144,0.9,,2.9,2.5,1.8,3.6,0,0
0,320,3.5,,7.5,,,3.6,,
3,177,0,0,10.4,10.4,,0,0.1,0.039370079
10,1360,0,0,75,57.5,0,5,0.127,0.05
7,586,0,0,34,24,0,0,0.0762,0.03
10,1724,18,2,57,31,1,5,0.63,0.248031496
1,1665,0.5,0.5,96,96,0.1,0.9,0,0
,2172,29.1,17,58.4,33.5,1.3,5.5,1,0.393700787
5,1981,20.8,13.7,63.6,31.8,3.3,6.1,0.57,0.224409449
,126,1.4,0.8,3.6,2.7,1,0.3,0.63,0.248031496
0,1070,12,4.51,25.6,3.76,0.752,9.77,1.22,0.481
1,188,2.1,0.7,5.3,2.4,0.8,0.8,0.75,0.295275591
0,615,6.4,2.6,0,0,0,22.1,0.1778,0.07
3,761,7.58,4.04,21.2,1.52,0.505,8.08,0.757,0.298
2,1554,1.3,0.2,77.7,1.5,3.1,9.4,0.0100076,0.00394
,235,0.5,0.1,14,11,0.5,0.5,0.02,0.007874016
,332,0,0,15,10.1,0,4.85,0.179,0.0705
0,3404,92,10.1,0.5,0.5,0.5,0.5,0.01,0.003937008
,140,0,,6.67,6.67,,0,0.931,0.367
1,725,6.9,1.4,15.2,15.2,0.5,12.1,2.2352,0.88
,1670,10.8,4.62,58.5,1.54,4.62,15.4,1.48,0.585
,2230,26.7,13.3,66.7,33.3,6.67,6.67,0.931,0.367
2,63,0,0,,3,0,,0,0
2,1554,1.3,0.2,77.7,1.5,3.1,9.4,0.0100076,0.00394
,435,0,0,26,25,1.04,0,0,0
,162,0,0,8.62,5.17,1.72,1.72,0.81,0.319
5,75,0,,3.57,,,0,2.81,1.11
4,21,0,,1,,,0,0.6604,0.26
2,2400,40,25,50,50,2.5,5,0.222,0.0875
1,2300,32.5,20,55,52.5,2.5,7.5,0.159,0.0625
,2200,30,20,55,50,2.5,5,0.159,0.0625
0,2230,30,10,56.7,56.7,3.33,6.67,0.0847,0.0333
0,2260,32.4,10.8,56.8,56.8,2.7,5.41,0.103,0.0405
0,2260,32.4,10.8,56.8,56.8,2.7,5.41,0.103,0.0405
1,2260,32.4,10.8,56.8,56.8,2.7,5.41,0.103,0.0405
,1540,26.3,2.63,31.6,15.8,5.26,5.26,0.134,0.0526
0,1205,19,8.3,18.4,0.6,3.1,9.7,1.6764,0.66
,1820,15.4,8.97,69.2,51.3,0,2.56,0.684,0.269
4,1940,17.1,17.1,75.6,58.5,0,2.44,0.589,0.232
,1460,0,0,87.5,62.5,,2.5,0.762,0.3
,1820,15.4,8.97,69.2,51.3,0,2.56,0.456,0.179
3,443,4.12,2.06,15.9,14.1,0,2.94,0.112,0.0441
,2.86,31.4,8.57,48.6,34.3,5.71,14.3,0.508,0.2
10,1050,1.79,0,50,7.14,3.57,7.14,1.22,0.482
10,1120,2.22,1.11,51.1,2.22,2.22,8.89,1.47,0.578
9,1170,2.33,0,51.2,6.98,2.33,9.3,1.18,0.465
0,2090,26.7,3.33,26.7,3.33,16.7,36.7,0.804,0.317
,2650,50,3.33,20,3.33,10,23.3,0,0
6,1600,0,,90.5,,,4.76,0.968,0.381
0,70,0,0,3.33,1.67,1.67,0.833,0.847,0.333
2,86.8,0,0,4.13,2.48,0.826,0.826,0.378,0.149
0,442,0,0,18.2,9.09,3.03,6.06,0.154,0.0606
1,382,0,0,21.2,12.1,6.06,3.03,1.23,0.485
0,386,1.54,0,15.4,2.31,4.62,4.62,0.254,0.1
,1600,2.38,,85.7,38.1,,0,0,0
