code,pnns_groups_1,pnns_groups_2,countries_en,countriesgroups
1071894,Cereals and potatoes,Bread,United Kingdom,UKIRSC
5200016,Cereals and potatoes,Legumes,France,FrBeNeLux
10090206,Beverages,Non-sugared beverages,France,FrBeNeLux
27533048,Sugary snacks,Biscuits and cakes,United Kingdom,UKIRSC
40608754,Beverages,Sweetened beverages,France,FrBeNeLux
758,Fruits and vegetables,Vegetables,United Kingdom,UKIRSC
84154071,Fat and sauces,Dressings and sauces,Spain,SouthEU
87177756,Beverages,Sweetened beverages,France,FrBeNeLux
1373,Fruits and vegetables,Vegetables,United Kingdom,UKIRSC
3100,Fish Meat Eggs,Meat,France,FrBeNeLux
790310013,Sugary snacks,Sweets,Germany,Germans
790310020,Sugary snacks,Sweets,Germany,Germans
790310044,Sugary snacks,Sweets,United States,CaUS
8761,Fruits and vegetables,Vegetables,United Kingdom,UKIRSC
886100252,Beverages,Sweetened beverages,France,FrBeNeLux
104,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
11501,Beverages,Sweetened beverages,France,FrBeNeLux
11693,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
11815,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
14816,Fat and sauces,Dressings and sauces,United States,CaUS
19170,Fruits and vegetables,vegetables,United Kingdom,UKIRSC
25157,Composite foods,Pizza pies and quiche,United States,CaUS
31858,Fruits and vegetables,Soups,France,FrBeNeLux
33046,Fish Meat Eggs,Meat,United Kingdom,UKIRSC
36559,Composite foods,One-dish meals,United States,CaUS
3866221,Alcoholic beverages,Alcoholic beverages,Reunion,AfricaSCI
41500007007,Fat and sauces,Dressings and sauces,United States,CaUS
4394,Fruits and vegetables,Fruits,United Kingdom,UKIRSC
53327,Cereals and potatoes,Cereals,United Kingdom,UKIRSC
54379,Fruits and vegetables,Fruits,United Kingdom,UKIRSC
62114,Cereals and potatoes,Bread,United Kingdom,UKIRSC
62916,Milk and dairy products,Milk and yogurt,United States,CaUS
64491,Fat and sauces,Fats,United Kingdom,UKIRSC
7200000021,Fat and sauces,Dressings and sauces,Switzerland,Germans
76630,Fruits and vegetables,Vegetables,United Kingdom,UKIRSC
79150,Cereals and potatoes,Cereals,United States,CaUS
8077102146,Sugary snacks,Biscuits and cakes,United States,CaUS
88862,Cereals and potatoes,Cereals,United Kingdom,UKIRSC
90780,Fat and sauces,Dressings and sauces,United States,CaUS
9138378043,Sugary snacks,Sweets,United States,CaUS
9542018054,Sugary snacks,Chocolate products,United States,CaUS
9542018061,Sugary snacks,Chocolate products,United States,CaUS
9542018085,Sugary snacks,Chocolate products,United States,CaUS
