additives_n,nutrition_grade_fr,pnns_groups_1,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
,a,unknown,215,2.5,0.3,5,4,2.5,1,0.55,0.216535433
5,c,Sugary snacks,1284,7,3.6,54.2,44,4.7,3.9,0.199898,0.0787
2,e,Beverages,177,0,0,10.4,10.4,0,0,0.0254,0.01
3,e,Beverages,177,0,0,10.4,10.4,,0,0.1,0.039370079
10,d,Sugary snacks,1360,0,0,75,57.5,0,5,0.127,0.05
7,c,Sugary snacks,586,0,0,34,24,0,0,0.0762,0.03
10,d,Sugary snacks,1724,18,2,57,31,1,5,0.63,0.248031496
1,d,Beverages,1665,0.5,0.5,96,96,0.1,0.9,0,0
,e,Sugary snacks,2172,29.1,17,58.4,33.5,1.3,5.5,1,0.393700787
5,e,Sugary snacks,1981,20.8,13.7,63.6,31.8,3.3,6.1,0.57,0.224409449
0,a,unknown,1474,1.8,0.3,69.9,0.5,2.1,11.9,0,0
0,d,Composite foods,1070,12,4.51,25.6,3.76,0.752,9.77,1.22,0.481
1,b,Fruits and vegetables,188,2.1,0.7,5.3,2.4,0.8,0.8,0.75,0.295275591
0,a,Fish Meat Eggs,615,6.4,2.6,0,0,0,22.1,0.1778,0.07
3,c,Composite foods,761,7.58,4.04,21.2,1.52,0.505,8.08,0.757,0.298
2,a,Cereals and potatoes,1554,1.3,0.2,77.7,1.5,3.1,9.4,0.0100076,0.00394
,a,Fruits and vegetables,235,0.5,0.1,14,11,0.5,0.5,0.02,0.007874016
,a,Milk and dairy products,332,0,0,15,10.1,0,4.85,0.179,0.0705
0,d,Fat and sauces,3404,92,10.1,0.5,0.5,0.5,0.5,0.01,0.003937008
2,a,unknown,450,8.6,0.6,4.2,1.8,6.1,0.7,0.42926,0.169
,c,Cereals and potatoes,1670,10.8,4.62,58.5,1.54,4.62,15.4,1.48,0.585
,e,Sugary snacks,2230,26.7,13.3,66.7,33.3,6.67,6.67,0.931,0.367
2,a,Cereals and potatoes,1554,1.3,0.2,77.7,1.5,3.1,9.4,0.0100076,0.00394
0,a,unknown,90,0.5,0.1,2.3,1.6,1.3,1.3,0.254,0.1
,b,Fat and sauces,162,0,0,8.62,5.17,1.72,1.72,0.81,0.319
2,e,Sugary snacks,2400,40,25,50,50,2.5,5,0.222,0.0875
1,e,Sugary snacks,2300,32.5,20,55,52.5,2.5,7.5,0.159,0.0625
,e,Sugary snacks,2200,30,20,55,50,2.5,5,0.159,0.0625
0,e,Sugary snacks,2230,30,10,56.7,56.7,3.33,6.67,0.0847,0.0333
0,e,Sugary snacks,2260,32.4,10.8,56.8,56.8,2.7,5.41,0.103,0.0405
0,e,Sugary snacks,2260,32.4,10.8,56.8,56.8,2.7,5.41,0.103,0.0405
1,e,Sugary snacks,2260,32.4,10.8,56.8,56.8,2.7,5.41,0.103,0.0405
1,a,unknown,1130,1.92,0,57.7,11.5,19.2,25,0.415,0.163
,a,unknown,410,2.4,1.4,9.7,1.6,1.4,8.4,0.4064,0.16
,e,Sugary snacks,1820,15.4,8.97,69.2,51.3,0,2.56,0.684,0.269
4,e,Sugary snacks,1940,17.1,17.1,75.6,58.5,0,2.44,0.589,0.232
,d,Sugary snacks,1460,0,0,87.5,62.5,,2.5,0.762,0.3
,e,Sugary snacks,1820,15.4,8.97,69.2,51.3,0,2.56,0.456,0.179
3,c,Milk and dairy products,443,4.12,2.06,15.9,14.1,0,2.94,0.112,0.0441
0,a,unknown,268,0,0,12,3.2,3.2,3.2,0.0203,0.008
10,b,Cereals and potatoes,1050,1.79,0,50,7.14,3.57,7.14,1.22,0.482
10,b,Cereals and potatoes,1120,2.22,1.11,51.1,2.22,2.22,8.89,1.47,0.578
9,b,Cereals and potatoes,1170,2.33,0,51.2,6.98,2.33,9.3,1.18,0.465
0,c,Salty snacks,2090,26.7,3.33,26.7,3.33,16.7,36.7,0.804,0.317
,b,Salty snacks,2650,50,3.33,20,3.33,10,23.3,0,0
0,a,Fruits and vegetables,70,0,0,3.33,1.67,1.67,0.833,0.847,0.333
2,a,Fruits and vegetables,86.8,0,0,4.13,2.48,0.826,0.826,0.378,0.149
0,a,Fruits and vegetables,442,0,0,18.2,9.09,3.03,6.06,0.154,0.0606
1,a,Fruits and vegetables,382,0,0,21.2,12.1,6.06,3.03,1.23,0.485
0,a,Cereals and potatoes,386,1.54,0,15.4,2.31,4.62,4.62,0.254,0.1
,a,unknown,700,4.7,0.9,28.4,0.9,4.2,2.6,0.127,0.05
1,a,unknown,554,5.2,1.1,12.5,3.7,1.9,7.9,0.48,0.188976378
8,b,Cereals and potatoes,1170,3.49,0,53.5,4.65,2.33,9.3,1.36,0.535
,a,unknown,496,4.44,0.37,16.3,1.48,2.96,3.7,0.734,0.289
0,c,Cereals and potatoes,1940,23.2,4.46,58.9,21.4,8.93,10.7,0,0
0,a,unknown,209,0.5,0,11,4,3,2,0.0254,0.01
1,c,Salty snacks,879,14,2,22.5,0,1,3,0.4953,0.195
0,a,unknown,418,8,0.5,3,1,2,3,0,0
0,d,Salty snacks,2090,32.1,8.93,53.6,0,3.57,3.57,0.998,0.393
,a,unknown,1080,1.18,0,52.9,7.06,3.53,10.6,0.807,0.318
,a,unknown,430,2,0.6,13.6,3,1.3,6.8,0.406,0.16
5,a,unknown,334,1.6,1.2,5.6,4,0,11.2,0.63,0.248
0,b,Beverages,199,0.625,0,8.75,7.92,0,2.08,0,0
0,d,Sugary snacks,2433,45.6,27.6,31.3,26.8,10.6,7.6,0.2032,0.08
6,e,Sugary snacks,1928,17.7,10.1,68.5,44.4,2.7,5.1,0.81,0.318897638
,a,unknown,1590,5.95,0,71.4,7.14,7.14,14.3,0,0
1,e,Beverages,139,0.152,0,6.97,6.36,0,0.303,0.0154,0.00606
,b,Beverages,105,0,0,7.5,5.56,0,0,0.00353,0.00139
0,a,Cereals and potatoes,1493,3.2,0.7,71,0.7,3.7,8.1,0,0
4,c,Sugary snacks,1324,4.9,2.9,62.9,45.4,4.4,2.3,0.199898,0.0787
4,c,Sugary snacks,1324,4.9,2.9,62.9,45.4,4.4,2.3,0.199898,0.0787
8,d,Sugary snacks,1371,8.6,3,57.1,44.1,3.3,3.2,0.26924,0.106
0,a,Cereals and potatoes,1515,1.7,0.5,73.1,3.5,2.5,12.3,0,0
0,a,unknown,475,5.2,1,3.2,2.6,2.6,12.3,0.6604,0.26
0,d,Sugary snacks,1398,0.5,0.2,81.5,80.8,0.5,0.5,0.029972,0.0118
0,d,Fish Meat Eggs,789,9.5,2.6,0.6,0.1,0.7,24.8,3.25,1.279527559
2,e,Fat and sauces,792,0,0,48.6,43.2,0,0,1.99,0.784
3,e,Fat and sauces,1004,0,0,57,51,,1,2.5146,0.99
,a,unknown,320,1.3,0.2,8.7,1.4,2.1,6.3,0.48,0.188976378
,a,unknown,159,0,0,5.08,5.08,0,3.39,0.151,0.0593
1,c,Cereals and potatoes,1590,5.64,2.82,66.3,7.05,2.82,15.5,1.54,0.607
,a,unknown,160,0,0,5.51,5.08,0,3.81,0.145,0.0572
,a,Cereals and potatoes,896,3.57,0,42.9,7.14,10.7,10.7,0.907,0.357
0,a,unknown,160,0,0,5.51,5.51,0,3.81,0.14,0.0551
0,a,unknown,1570,6.25,1.25,67.5,2.5,7.5,10,0,0
0,a,unknown,38.1,0,0,5.51,5.08,0,3.81,0.145,0.0572
17,a,unknown,1580,6.76,1.35,73,2.7,5.41,5.41,0.584,0.23
,d,Sugary snacks,500,26.9,15.4,61.5,34.6,3.85,3.85,0.391,0.154
4,e,Sugary snacks,2130,27.4,15.7,62.7,35.3,0,3.92,0.448,0.176
7,a,Cereals and potatoes,279,4.65,0,51.2,6.98,2.33,9.3,1.18,0.465
3,e,Sugary snacks,2260,30.6,14.1,61.1,30.6,2.35,7.05,0.627,0.247
3,e,Sugary snacks,2210,26.5,11.8,64.7,32.4,2.94,5.88,0.448,0.176
3,e,Sugary snacks,2180,28,20,64,32,4,4,0.66,0.26
8,b,Cereals and potatoes,1170,3.49,0,51.2,4.65,2.33,9.3,1.3,0.512
4,d,Sugary snacks,519,,13,63,33.3,3.7,3.7,0.423,0.167
,e,Sugary snacks,2180,28,18,64,32,4,4,0.406,0.16
3,e,Sugary snacks,2090,23.1,13.5,65.4,38.5,0,3.85,0.586,0.231
3,e,Sugary snacks,2090,23.1,13.5,65.4,38.5,0,3.85,0.586,0.231
,e,Sugary snacks,2090,25,10.7,67.9,28.6,0,3.57,0.952,0.375
2,a,unknown,837,1,0,42,2,2,7,0,0
3,e,Sugary snacks,2180,28,16,64,36,4,4,0.356,0.14
3,d,Sugary snacks,1930,19.2,11.5,69.2,19.2,3.85,7.69,0.782,0.308
5,d,Salty snacks,1950,16.7,3.33,66.7,3.33,3.33,10,2.03,0.8
6,d,Salty snacks,1950,16.7,3.33,63.3,3.33,3.33,13.3,2.29,0.9
3,d,Salty snacks,2090,20,1.67,66.7,3.33,3.33,10,1.95,0.767
0,a,unknown,157,0,0,5.42,5,0,3.33,0.138,0.0542
,a,unknown,1570,7.5,1.25,67.5,2.5,10,12.5,0,0
7,e,Sugary snacks,2269,32.4,12.8,57.8,34,5.4,5.1,0.8001,0.315
8,e,Sugary snacks,2131,25.3,13.9,66.5,34.8,5.8,3.8,0.8,0.31496063
6,e,Sugary snacks,2230,30.4,14.3,60.1,32.6,4.2,4.9,0.7,0.275590551
6,e,Sugary snacks,2238,31.3,13.9,58.7,30.4,3.6,5,0.8,0.31496063
8,e,Sugary snacks,1946,19.2,10.6,67.3,41.7,5.7,5.3,0.5,0.196850394
,d,Sugary snacks,1753,14.5,4.8,74.2,41.9,6.5,6.5,0.7366,0.29
,e,Sugary snacks,2090,26.9,11.5,65.4,38.5,3.85,3.85,0.879,0.346
,e,Sugary snacks,2090,26.9,13.5,65.4,34.6,3.85,3.85,0.684,0.269
11,d,Salty snacks,1958,18.1,3.7,64.2,1.4,2.5,11.6,1.9,0.748031496
0,d,Salty snacks,2444,46,5.6,17.4,7.8,,21.4,1.3,0.511811024
0,c,Salty snacks,2388,46,5.6,27.7,7.8,,21.4,0,0
0,e,Salty snacks,2444,46,5.6,17.4,7.8,,21.4,2.5,0.984251969
,e,Salty snacks,2390,45.2,5.8,17.3,10.3,0,20,2.4003,0.945
0,d,Salty snacks,2444,46,5.6,17.4,7.8,,21.4,1.3,0.511811024
0,e,Salty snacks,2444,46,5.6,17.4,7.8,,21.4,2.5,0.984251969
0,d,Salty snacks,2444,46,5.6,17.4,7.8,,21.4,0,0
0,d,Salty snacks,2992,65.2,6.1,13.7,2.6,,15.2,0.03,0.011811024
0,b,Fish Meat Eggs,778,12.3,5.9,0,0,0,19,0.15,0.059055118
,c,Fat and sauces,365,0.5,0.1,18.1,18.1,0.7,0.6,1.13,0.44488189
1,b,Beverages,72.8,0,0,3.48,2.61,0.87,0,0.567,0.223
1,d,Sugary snacks,1069,0.5,0.1,62,58.5,1,0.4,0.100076,0.0394
0,a,unknown,502,0.5,0,27,0,5,5,0,0
0,b,Fish Meat Eggs,837,12.7,5.6,0,0,0,21.6,0.150114,0.0591
1,a,unknown,350,0.4,0.1,13.4,3.7,4.2,4.4,0.6604,0.26
0,a,unknown,533,3.5,1.7,9.1,2.7,10.3,9.8,0.8382,0.33
0,a,unknown,186,0,0,11.1,8.89,1.48,0.741,0.0188,0.00741
2,a,unknown,665,3.8,1,19,2.6,1.8,11,0.7,0.275590551
,a,Cereals and potatoes,837,3.33,0,83.3,0,46.7,6.67,0.931,0.367
4,b,Cereals and potatoes,1490,7.14,1.79,71.4,3.57,10.7,10.7,1.27,0.5
4,a,Cereals and potatoes,357,7.14,1.79,71.4,3.57,10.7,10.7,1.27,0.5
3,c,Cereals and potatoes,1540,6.12,1.02,81.6,28.6,12.2,8.16,1.14,0.449
8,d,Cereals and potatoes,1570,4.69,0,84.4,31.2,3.12,3.12,1.27,0.5
6,d,Cereals and potatoes,1700,3.7,0,81.5,37,7.41,7.41,1.6,0.63
5,d,Cereals and potatoes,1640,5.36,0,78.6,32.1,7.14,7.14,1.45,0.571
0,a,unknown,648,8.33,1.79,0,0,0,20.2,0.605,0.238
1,a,unknown,85,0.5,0.1,3.5,3.1,0.8,1.1,0.01,0.003937008
0,a,unknown,112,0.5,0.1,2.4,2.4,1.5,2.4,0.029972,0.0118
,d,Cereals and potatoes,1550,5.56,0,85.2,33.3,3.7,3.7,1.22,0.481
0,a,unknown,423,1.2,0.2,18.5,4.3,2.5,2.6,0.29972,0.118
3,a,unknown,1319,7.8,0.6,49.9,2.1,2.1,9.7,0.70104,0.276
0,a,unknown,146,0.3,0.2,3.2,0.3,3.3,3.2,0,0
4,d,Cereals and potatoes,1640,5.36,0,78.6,32.1,7.14,7.14,1.45,0.571
5,c,Cereals and potatoes,1610,3.85,0,84.6,30.8,3.85,3.85,1.12,0.442
3,b,Cereals and potatoes,1490,7.14,1.79,71.4,3.57,10.7,10.7,1.27,0.5
,d,Cereals and potatoes,1700,7.81,1.56,81.2,25,3.12,6.25,1.59,0.625
3,c,Cereals and potatoes,1550,1.85,0,85.2,7.41,3.7,7.41,2.07,0.815
0,a,unknown,107,0.8,0.2,1.1,1.1,2,2.5,0.29972,0.118
1,a,unknown,816,5.5,0.5,30.8,8.2,2.2,4.2,0.50038,0.197
0,a,unknown,1525,1.5,0.3,73,3.2,3,12,0.01,0.003937008
0,a,unknown,1120,1.33,0,54.7,12,4,8,0.711,0.28
1,e,Beverages,266,0,0,15.8,13.3,0.303,0,0.0231,0.00909
1,d,Beverages,746,19,17,2,2,,1.6,0.05,0.019685039
0,a,unknown,170,13,1.5,3,1,3,10,0,0
7,e,Sugary snacks,2034,20.2,10.3,68,31.3,2.1,6.7,0.48006,0.189
,a,unknown,424,2.2,0.22,14.5,2.64,1.32,5.73,0.481,0.189
,d,Fish Meat Eggs,661,7.02,1.75,3.51,0,0,19.3,2.9,1.14
0,a,Fish Meat Eggs,547,9,2.5,0.1,0.1,0,12.6,0.381,0.15
1,a,unknown,209,3,0,,0,3,2,0.381,0.15
8,d,Sugary snacks,1383,9.8,3.5,55,39.6,4.2,3.2,0.2794,0.11
0,a,unknown,262,0,0,12.5,3.12,,3.12,0.119,0.0469
0,d,Milk and dairy products,1681,33,20.1,3,0.5,0.5,23.8,1.78,0.700787402
0,a,Fruits and vegetables,62,0.5,0.1,0.7,0.1,1,1.6,0.070104,0.0276
0,b,Milk and dairy products,202,1.75,1.15,4.6,4.6,0.25,3.5,0.0999,0.0394
0,a,unknown,428,4.3,2.2,11.8,3.2,3.6,4.2,0.8763,0.345
0,c,Salty snacks,2666,56,4.4,6.5,4,7.4,25,0.039878,0.0157
0,c,Salty snacks,2666,56,4.4,6.5,4,7.4,25,0.039878,0.0157
0,a,unknown,541,8,1.2,8.6,3.5,4.3,8,0.94488,0.372
1,c,Fruits and vegetables,2603,62,53.4,6.1,6.1,13.7,5.6,0,0
0,d,Sugary snacks,1698,0.5,0.1,99.9,99.9,0.5,0.5,0.0100076,0.00394
3,a,Cereals and potatoes,1610,1.92,0,80.8,21.2,9.62,9.62,0,0
0,d,Sugary snacks,1698,0.5,0.1,99.9,99.9,0.5,0.5,0.0100076,0.00394
1,d,Sugary snacks,1695,0.5,0.1,99.7,99.7,0.5,0.5,0.0100076,0.00394
0,b,Milk and dairy products,282,4,2.6,4.5,4.5,0.5,3.3,0.100076,0.0394
0,a,unknown,1749,31,3.4,20,0,33,21,0,0
0,a,Cereals and potatoes,354,0,0,16.2,0,5.38,5.38,0.703,0.277
,a,unknown,248,4.24,0.847,4.24,2.54,1.69,1.69,0.603,0.237
1,b,Milk and dairy products,262,1.04,0,10,9.17,,3.33,0.212,0.0833
2,d,Milk and dairy products,1640,32.1,17.9,3.57,0,0,25,1.63,0.643
6,c,Cereals and potatoes,1420,1.41,0.705,70.5,7.05,2.82,11.3,2.04,0.804
2,a,unknown,249,0,0,14,10.5,3.51,0,0,0
,a,unknown,1480,0,0,80,6.67,6.67,6.67,0.643,0.253
0,a,Fruits and vegetables,264,1.05,0,12.6,5.26,2.11,2.11,0.535,0.211
1,d,Salty snacks,2126,26.8,2.1,59.8,2.8,3.7,5.2,2.43,0.956692913
4,c,Salty snacks,2095,26.6,2.1,57.1,4.5,4.6,6.1,1.30048,0.512
